"Authors","Year","Title","Journal","Volume","Issue","DOI","Number_of_Assessments","Number_Relevant","Relevance"
"Denkenberger D., Turchin A.","2018","Global catastrophic and existential risks communication scale","Futures","","","10.1016/j.futures.2018.01.003","19","19","19.0"
"Blair R.W., Denkenberger D.C.","2018","Interventions that may prevent or mollify supervolcanic eruptions","Futures","","","10.1016/j.futures.2018.01.002","13","13","13.0"
"Wintle B.C., Sutherland W.J., Rees M.J., Avin S., Weitzdörfer J., Ó hÉigeartaigh S.S.","2018","Classifying global catastrophic risks","Futures","","","10.1016/j.futures.2018.02.001","14","13","12.0"
"Gloor L., Sotala K.","2017","Superintelligence as a cause or cure for risks of astronomical suffering","Informatica (Slovenia)","41","4","","12","12","12.0"
"Halstead J.","2018","Stratospheric aerosol injection research and existential risk","Futures","","","10.1016/j.futures.2018.03.004","11","11","11.0"
"Lauta K.C., Liu H.Y., Maas M.M.","2018","Governing Boring Apocalypses: A new typology of existential vulnerabilities and exposures for existential risk research","Futures","","","10.1016/j.futures.2018.04.009","10","10","10.0"
"Baum S.D.","2018","Uncertain human consequences in asteroid risk analysis and the global catastrophe threshold","Natural Hazards","","","10.1007/s11069-018-3419-4","10","10","10.0"
"Umbrello S., Baum S.D.","2018","Evaluating future nanotechnology: The net societal impacts of atomically precise manufacturing","Futures","100","","10.1016/j.futures.2018.04.007","11","10","9.0"
"Morrison D.","2006","Asteroid and comet impacts: The ultimate environmental catastrophe","Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","364","1845","10.1098/rsta.2006.1812","9","9","9.0"
"Del Monte L.A.","2017","Nanoweapons: A Growing Threat to Humanity","Nanoweapons: A Growing Threat to Humanity","","","","9","9","9.0"
"Haqq-Misra J.","2014","Should we geoengineer larger ice caps?","Futures","72","","10.1016/j.futures.2015.07.002","8","8","8.0"
"Denkenberger D., Turchin A.","2018","Classification of global catastrophic risks connected with artificial intelligence","AI and Society","","","10.1007/s00146-018-0845-5","8","8","8.0"
"Torres P.","2018","Who would destroy the world? Omnicidal agents and related phenomena","Aggression and Violent Behavior","39","","10.1016/j.avb.2018.02.002","9","8","7.0"
"Remo J.L.","2015","The dilemma of nuclear energy in space","Bulletin of the Atomic Scientists","71","3","10.1177/0096340215581359","7","7","7.0"
"Pearce J.M., Denkenberger D.C.","2016","Cost-Effectiveness of Interventions for Alternate Food to Address Agricultural Catastrophes Globally","International Journal of Disaster Risk Science","7","3","10.1007/s13753-016-0097-2","7","7","7.0"
"Torres P.","2017","Agential risks and information hazards: An unavoidable but dangerous topic?","Futures","","","10.1016/j.futures.2017.10.004","7","7","7.0"
"Jebari K.","2015","Existential Risks: Exploring a Robust Risk Reduction Strategy","Science and Engineering Ethics","21","3","10.1007/s11948-014-9559-3","7","7","7.0"
"Irvine P.J., Parker A.","2018","The Risk of Termination Shock From Solar Geoengineering","Earth's Future","6","3","10.1002/2017EF000735","7","7","7.0"
"Harmsen T., Weinbaum D.R., Lenartowicz M., Heylighen F., Kingsbury K.","2018","The human takeover: A call for a venture into an existential opportunity","Information (Switzerland)","9","5","10.3390/info9050113","7","7","7.0"
"Torres P.","2018","Facing disaster: the great challenges framework","Foresight","","","10.1108/FS-04-2018-0040","7","7","7.0"
"Häggström O.","2018","Challenges to the Omohundro–Bostrom framework for AI motivations","Foresight","","","10.1108/FS-04-2018-0039","7","7","7.0"
"Turchin A.","2018","Assessing the future plausibility of catastrophically dangerous AI","Futures","","","10.1016/j.futures.2018.11.007","7","7","7.0"
"O'Brien M., Jones N., Ryan T.","2018","Representation of future generations in United Kingdom policy-making","Futures","","","10.1016/j.futures.2018.01.007","10","8","6.0"
"Johnson-Freese J., Knox J.","2000","Preventing armageddon: Hype or reality","JBIS - Journal of the British Interplanetary Society","53","5-6","","8","7","6.0"
"Denkenberger D., Turchin A.","2018","Surviving global risks through the preservation of humanity's data on the Moon","Acta Astronautica","146","","10.1016/j.actaastro.2018.02.042","8","7","6.0"
